Stock,primaryExchange
MMM,NYSE
ABT,NYSE
ABBV,NYSE
ABMD,NASDAQ
ACN,NYSE
ATVI,NASDAQ
ADBE,NASDAQ
AMD,NASDAQ
AAP,NYSE
AES,NYSE
AFL,NYSE
A,NYSE
APD,NYSE
AKAM,NASDAQ
ALK,NYSE
ALB,NYSE
ARE,NYSE
ALXN,NASDAQ
ALGN,NASDAQ
ALLE,NYSE
ADS,NYSE
LNT,NASDAQ
ALL,NYSE
GOOGL,NASDAQ
GOOG,NASDAQ
MO,NYSE
AMZN,NASDAQ
AMCR,NYSE
AEE,NYSE
AAL,NASDAQ
AEP,NYSE
AXP,NYSE
AIG,NYSE
AMT,NYSE
AWK,NYSE
AMP,NYSE
ABC,NYSE
AME,NYSE
AMGN,NASDAQ
APH,NYSE
ADI,NASDAQ
ANSS,NASDAQ
ANTM,NYSE
AON,NYSE
AOS,NYSE
APA,NASDAQ
AIV,NYSE
AAPL,NASDAQ
AMAT,NASDAQ
APTV,NYSE
ADM,NYSE
ANET,NYSE
AJG,NYSE
AIZ,NYSE
T,NYSE
ATO,NYSE
ADSK,NASDAQ
ADP,NASDAQ
AZO,NYSE
AVB,NYSE
AVY,NYSE
BKR,NYSE
BLL,NYSE
BAC,NYSE
BK,NYSE
BAX,NYSE
BDX,NYSE
BRK.B,NYSE
BBY,NYSE
BIIB,NASDAQ
BLK,NYSE
BA,NYSE
BKNG,NASDAQ
BWA,NYSE
BXP,NYSE
BSX,NYSE
BMY,NYSE
AVGO,NASDAQ
BR,NYSE
BF.B,NYSE
CHRW,NASDAQ
COG,NYSE
CDNS,NASDAQ
CPB,NYSE
COF,NYSE
CAH,NYSE
KMX,NYSE
CCL,NYSE
CARR,NYSE
CAT,NYSE
CBOE,BATS
CBRE,NYSE
CDW,NASDAQ
CE,NYSE
CNC,NYSE
CNP,NYSE
CTL,NYSE
CERN,NASDAQ
CF,NYSE
SCHW,NYSE
CHTR,NASDAQ
CVX,NYSE
CMG,NYSE
CB,NYSE
CHD,NYSE
CI,NYSE
CINF,NASDAQ
CTAS,NASDAQ
CSCO,NASDAQ
C,NYSE
CFG,NYSE
CTXS,NASDAQ
CLX,NYSE
CME,NASDAQ
CMS,NYSE
KO,NYSE
CTSH,NASDAQ
CL,NYSE
CMCSA,NASDAQ
CMA,NYSE
CAG,NYSE
CXO,NYSE
COP,NYSE
ED,NYSE
STZ,NYSE
COO,NYSE
CPRT,NASDAQ
GLW,NYSE
CTVA,NYSE
COST,NASDAQ
COTY,NYSE
CCI,NYSE
CSX,NASDAQ
CMI,NYSE
CVS,NYSE
DHI,NYSE
DHR,NYSE
DRI,NYSE
DVA,NYSE
DE,NYSE
DAL,NYSE
XRAY,NASDAQ
DVN,NYSE
DXCM,NASDAQ
FANG,NASDAQ
DLR,NYSE
DFS,NYSE
DISCA,NASDAQ
DISCK,NASDAQ
DISH,NASDAQ
DG,NYSE
DLTR,NASDAQ
D,NYSE
DPZ,NYSE
DOV,NYSE
DOW,NYSE
DTE,NYSE
DUK,NYSE
DRE,NYSE
DD,NYSE
DXC,NYSE
ETFC,NASDAQ
EMN,NYSE
ETN,NYSE
EBAY,NASDAQ
ECL,NYSE
EIX,NYSE
EW,NYSE
EA,NASDAQ
EMR,NYSE
ETR,NYSE
EOG,NYSE
EFX,NYSE
EQIX,NASDAQ
EQR,NYSE
ESS,NYSE
EL,NYSE
EVRG,NYSE
ES,NYSE
RE,NYSE
EXC,NASDAQ
EXPE,NASDAQ
EXPD,NASDAQ
EXR,NYSE
XOM,NYSE
FFIV,NASDAQ
FB,NASDAQ
FAST,NASDAQ
FRT,NYSE
FDX,NYSE
FIS,NYSE
FITB,NASDAQ
FE,NYSE
FRC,NYSE
FISV,NASDAQ
FLT,NYSE
FLIR,NASDAQ
FLS,NYSE
FMC,NYSE
F,NYSE
FTNT,NASDAQ
FTV,NYSE
FBHS,NYSE
FOXA,NASDAQ
FOX,NASDAQ
BEN,NYSE
FCX,NYSE
GPS,NYSE
GRMN,NASDAQ
IT,NYSE
GD,NYSE
GE,NYSE
GIS,NYSE
GM,NYSE
GPC,NYSE
GILD,NASDAQ
GL,NYSE
GPN,NYSE
GS,NYSE
GWW,NYSE
HRB,NYSE
HAL,NYSE
HBI,NYSE
HOG,NYSE
HIG,NYSE
HAS,NASDAQ
HCA,NYSE
PEAK,NYSE
HSIC,NASDAQ
HSY,NYSE
HES,NYSE
HPE,NYSE
HLT,NYSE
HFC,NYSE
HOLX,NASDAQ
HD,NYSE
HON,NYSE
HRL,NYSE
HST,NYSE
HWM,NYSE
HPQ,NYSE
HUM,NYSE
HBAN,NASDAQ
HII,NYSE
IEX,NYSE
IDXX,NASDAQ
INFO,NYSE
ITW,NYSE
ILMN,NASDAQ
INCY,NASDAQ
IR,NYSE
INTC,NASDAQ
ICE,NYSE
IBM,NYSE
IP,NYSE
IPG,NYSE
IFF,NYSE
INTU,NASDAQ
ISRG,NASDAQ
IVZ,NYSE
IPGP,NASDAQ
IQV,NYSE
IRM,NYSE
JKHY,NASDAQ
J,NYSE
JBHT,NASDAQ
SJM,NYSE
JNJ,NYSE
JCI,NYSE
JPM,NYSE
JNPR,NYSE
KSU,NYSE
K,NYSE
KEY,NYSE
KEYS,NYSE
KMB,NYSE
