,0
0,MORN
1,TAP
2,ANET
3,VMC
4,HNP
5,EBAYL
6,RETA
7,MELI
8,TYL
9,BSAC
10,ATUS
11,WBC
12,ACH
13,IP
14,ALNY
15,MKTX
16,SBGL
17,MSG
18,INXN
19,Y
20,LK
21,SHG
22,TGT
23,LN
24,LII
25,TSG
26,S
27,AGNCN
28,SYNH
29,CY
30,ZAYO
31,ADSK
32,DOX
33,LBRDA
34,CE
35,EQIX
36,GH
37,GDI
38,UTX
39,PEN
40,ALL
41,AZO
42,BATRA
43,MKL
44,PEGA
45,PTR
46,UDR
47,NXPI
48,DCUE
49,CEO
50,CHE
51,AIZP
52,FRT
53,CFXA
54,KHC
55,ESLT
56,DEO
57,OC
58,KB
59,FLT
60,ORLY
61,WTRU
62,FDX
63,CACI
64,JHX
65,SLMBP
66,WF
67,TECH
68,NVR
69,SWP
70,CMI
71,DLTR
72,RTN
73,UI
74,KEP
75,NFLX
76,UHAL
77,AGNCM
78,AMED
79,AGN
80,BKNG
