,contract,direction,order,symbol
0,"Stock(symbol='A', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=8, clientId=10, permId=666915708, action='BUY', account='DU2280941')",A
1,"Stock(symbol='AAL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=9, clientId=10, permId=666915713, action='BUY', account='DU2280941')",AAL
2,"Stock(symbol='AAP', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=10, clientId=10, permId=666915709, action='BUY', account='DU2280941')",AAP
3,"Stock(symbol='ABBV', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=11, clientId=10, permId=666915710, action='SELL', account='DU2280941')",ABBV
4,"Stock(symbol='ABC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=12, clientId=10, permId=666915711, action='BUY', account='DU2280941')",ABC
5,"Stock(symbol='ABEV', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=13, clientId=10, permId=666915712, action='BUY', account='DU2280941')",ABEV
6,"Stock(symbol='ABMD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=14, clientId=10, permId=666915725, action='BUY', account='DU2280941')",ABMD
7,"Stock(symbol='ACAD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=15, clientId=10, permId=666915726, action='SELL', account='DU2280941')",ACAD
8,"Stock(symbol='ACC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=16, clientId=10, permId=666915714, action='BUY', account='DU2280941')",ACC
9,"Stock(symbol='ACGL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=17, clientId=10, permId=666915728, action='BUY', account='DU2280941')",ACGL
10,"Stock(symbol='ACGLP', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=18, clientId=10, permId=666915727, action='BUY', account='DU2280941')",ACGLP
11,"Stock(symbol='ACH', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=19, clientId=10, permId=666915715, action='SELL', account='DU2280941')",ACH
12,"Stock(symbol='ACM', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=20, clientId=10, permId=666915716, action='SELL', account='DU2280941')",ACM
13,"Stock(symbol='ADI', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=21, clientId=10, permId=666915735, action='BUY', account='DU2280941')",ADI
14,"Stock(symbol='ADM', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=22, clientId=10, permId=666915717, action='SELL', account='DU2280941')",ADM
15,"Stock(symbol='AEG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=23, clientId=10, permId=666915718, action='BUY', account='DU2280941')",AEG
16,"Stock(symbol='AEM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=24, clientId=10, permId=666915719, action='BUY', account='DU2280941')",AEM
17,"Stock(symbol='AEP', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=25, clientId=10, permId=666915720, action='BUY', account='DU2280941')",AEP
18,"Stock(symbol='AER', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=26, clientId=10, permId=666915721, action='SELL', account='DU2280941')",AER
19,"Stock(symbol='AES', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=27, clientId=10, permId=666915722, action='BUY', account='DU2280941')",AES
20,"Stock(symbol='AFG', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=28, clientId=10, permId=666915723, action='SELL', account='DU2280941')",AFG
21,"Stock(symbol='AFL', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=29, clientId=10, permId=666915724, action='SELL', account='DU2280941')",AFL
22,"Stock(symbol='AGNC', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=30, clientId=10, permId=666915742, action='BUY', account='DU2280941')",AGNC
23,"Stock(symbol='AGNCM', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=31, clientId=10, permId=666915747, action='BUY', account='DU2280941')",AGNCM
24,"Stock(symbol='AGNCN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=32, clientId=10, permId=666915754, action='BUY', account='DU2280941')",AGNCN
25,"Stock(symbol='AGR', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=33, clientId=10, permId=666915729, action='BUY', account='DU2280941')",AGR
