,contract,direction,order,symbol
0,traded,HOLD,not_applicable,AAPL
1,traded,HOLD,not_applicable,ABB
2,traded,HOLD,not_applicable,ABT
3,traded,HOLD,not_applicable,ACGLO
4,traded,HOLD,not_applicable,ACN
5,traded,HOLD,not_applicable,ADBE
6,traded,HOLD,not_applicable,ADP
7,traded,HOLD,not_applicable,ADSK
8,traded,HOLD,not_applicable,AEE
9,traded,HOLD,not_applicable,AGN
10,traded,HOLD,not_applicable,AIZP
11,traded,HOLD,not_applicable,ALLE
12,traded,HOLD,not_applicable,ALV
13,traded,HOLD,not_applicable,AMZN
14,traded,HOLD,not_applicable,AON
15,traded,HOLD,not_applicable,ARW
16,traded,HOLD,not_applicable,ASML
17,traded,HOLD,not_applicable,ASND
18,traded,HOLD,not_applicable,AVB
19,traded,HOLD,not_applicable,AZO
20,traded,HOLD,not_applicable,BABA
21,traded,HOLD,not_applicable,BCE
22,traded,HOLD,not_applicable,BDX
23,traded,HOLD,not_applicable,BEP
24,traded,HOLD,not_applicable,BIP
25,traded,HOLD,not_applicable,BKNG
26,traded,HOLD,not_applicable,BMO
27,traded,HOLD,not_applicable,BTI
28,traded,HOLD,not_applicable,BUD
29,traded,HOLD,not_applicable,BURL
30,traded,HOLD,not_applicable,CABO
31,traded,HOLD,not_applicable,CAJ
32,traded,HOLD,not_applicable,CBOE
33,traded,HOLD,not_applicable,CBSH
34,traded,HOLD,not_applicable,CEO
35,traded,HOLD,not_applicable,CHDN
36,traded,HOLD,not_applicable,CHL
37,traded,HOLD,not_applicable,CHTR
38,traded,HOLD,not_applicable,CMG
39,traded,HOLD,not_applicable,CMI
40,traded,HOLD,not_applicable,COST
41,traded,HOLD,not_applicable,CP
42,traded,HOLD,not_applicable,CRM
43,traded,HOLD,not_applicable,CSGP
44,traded,HOLD,not_applicable,CSL
45,traded,HOLD,not_applicable,CUK
46,traded,HOLD,not_applicable,CVS
47,traded,HOLD,not_applicable,CY
48,traded,HOLD,not_applicable,D
49,traded,HOLD,not_applicable,DCUE
50,traded,HOLD,not_applicable,DEI
51,traded,HOLD,not_applicable,DEO
52,traded,HOLD,not_applicable,DG
53,traded,HOLD,not_applicable,DHR
54,traded,HOLD,not_applicable,DLB
55,traded,HOLD,not_applicable,DRI
56,traded,HOLD,not_applicable,DTE
57,traded,HOLD,not_applicable,DUK
58,traded,HOLD,not_applicable,EA
59,traded,HOLD,not_applicable,EL
60,traded,HOLD,not_applicable,ENB
61,traded,HOLD,not_applicable,EPAM
62,traded,HOLD,not_applicable,EQIX
63,traded,HOLD,not_applicable,ERIE
64,traded,HOLD,not_applicable,ESLT
65,traded,HOLD,not_applicable,ESS
66,traded,HOLD,not_applicable,ETN
67,traded,HOLD,not_applicable,FANG
68,traded,HOLD,not_applicable,FB
69,traded,HOLD,not_applicable,FDX
70,traded,HOLD,not_applicable,FISV
71,traded,HOLD,not_applicable,FMS
72,traded,HOLD,not_applicable,FTV
73,traded,HOLD,not_applicable,GGG
74,traded,HOLD,not_applicable,GIB
75,traded,HOLD,not_applicable,GLPG
76,traded,HOLD,not_applicable,GOOG
77,traded,HOLD,not_applicable,GOOGL
78,traded,HOLD,not_applicable,GPN
79,traded,HOLD,not_applicable,GWW
80,traded,HOLD,not_applicable,HMC
81,traded,HOLD,not_applicable,HON
82,traded,HOLD,not_applicable,HSY
83,traded,HOLD,not_applicable,IEP
84,traded,HOLD,not_applicable,ILMN
85,traded,HOLD,not_applicable,INXN
86,traded,HOLD,not_applicable,IRM
87,traded,HOLD,not_applicable,ISRG
88,traded,HOLD,not_applicable,IT
89,traded,HOLD,not_applicable,IX
90,traded,HOLD,not_applicable,JNJ
91,traded,HOLD,not_applicable,JPM
92,traded,HOLD,not_applicable,KHC
93,traded,HOLD,not_applicable,KLAC
94,traded,HOLD,not_applicable,KSU
95,traded,HOLD,not_applicable,LB
96,traded,HOLD,not_applicable,LEA
97,traded,HOLD,not_applicable,LFC
98,traded,HOLD,not_applicable,LII
99,traded,HOLD,not_applicable,LIN
100,traded,HOLD,not_applicable,LLY
101,traded,HOLD,not_applicable,LMT
102,traded,HOLD,not_applicable,LOW
103,traded,HOLD,not_applicable,LRCX
104,traded,HOLD,not_applicable,MA
105,traded,HOLD,not_applicable,MCD
106,traded,HOLD,not_applicable,MDT
107,traded,HOLD,not_applicable,MKL
108,traded,HOLD,not_applicable,MKSI
109,traded,HOLD,not_applicable,MLM
110,traded,HOLD,not_applicable,MOH
111,traded,HOLD,not_applicable,MRK
112,traded,HOLD,not_applicable,MSFT
113,traded,HOLD,not_applicable,MTCH
114,traded,HOLD,not_applicable,MTD
115,traded,HOLD,not_applicable,NBIX
116,traded,HOLD,not_applicable,NEE
117,traded,HOLD,not_applicable,NFLX
118,traded,HOLD,not_applicable,NGG
119,traded,HOLD,not_applicable,NICE
120,traded,HOLD,not_applicable,NOC
121,traded,HOLD,not_applicable,NVR
122,traded,HOLD,not_applicable,NXPI
123,traded,HOLD,not_applicable,ODFL
124,traded,HOLD,not_applicable,ORLY
125,traded,HOLD,not_applicable,PCTY
126,traded,HOLD,not_applicable,PEP
127,traded,HOLD,not_applicable,PG
128,traded,HOLD,not_applicable,PHG
129,traded,HOLD,not_applicable,PKG
130,traded,HOLD,not_applicable,PNR
131,traded,HOLD,not_applicable,PPL
132,traded,HOLD,not_applicable,PYPL
133,traded,HOLD,not_applicable,RCI
134,traded,HOLD,not_applicable,REGN
135,traded,HOLD,not_applicable,ROP
136,traded,HOLD,not_applicable,RS
137,traded,HOLD,not_applicable,RTN
138,traded,HOLD,not_applicable,RYAAY
139,traded,HOLD,not_applicable,S
140,traded,HOLD,not_applicable,SAP
141,traded,HOLD,not_applicable,SGEN
142,traded,HOLD,not_applicable,SHG
143,traded,HOLD,not_applicable,SHW
144,traded,HOLD,not_applicable,SIVB
145,traded,HOLD,not_applicable,SJR
146,traded,HOLD,not_applicable,SNE
147,traded,HOLD,not_applicable,SPGI
148,traded,HOLD,not_applicable,SSNC
149,traded,HOLD,not_applicable,STE
150,traded,HOLD,not_applicable,STM
151,traded,HOLD,not_applicable,SWP
152,traded,HOLD,not_applicable,SYF
153,traded,HOLD,not_applicable,SYK
154,traded,HOLD,not_applicable,SYY
155,traded,HOLD,not_applicable,T
156,traded,HOLD,not_applicable,TAK
157,traded,HOLD,not_applicable,TDG
158,traded,HOLD,not_applicable,TER
159,traded,HOLD,not_applicable,TFX
160,traded,HOLD,not_applicable,TJX
161,traded,HOLD,not_applicable,TM
162,traded,HOLD,not_applicable,TMUS
163,traded,HOLD,not_applicable,TOT
164,traded,HOLD,not_applicable,TRI
165,traded,HOLD,not_applicable,TRP
166,traded,HOLD,not_applicable,TSG
167,traded,HOLD,not_applicable,TSM
168,traded,HOLD,not_applicable,TU
169,traded,HOLD,not_applicable,UHAL
170,traded,HOLD,not_applicable,UI
171,traded,HOLD,not_applicable,UL
172,traded,HOLD,not_applicable,ULTA
173,traded,HOLD,not_applicable,UN
174,traded,HOLD,not_applicable,UNH
175,traded,HOLD,not_applicable,UNP
176,traded,HOLD,not_applicable,V
177,traded,HOLD,not_applicable,VMW
178,traded,HOLD,not_applicable,VRTX
179,traded,HOLD,not_applicable,VTR
180,traded,HOLD,not_applicable,WBC
181,traded,HOLD,not_applicable,WMT
182,traded,HOLD,not_applicable,WPP
183,traded,HOLD,not_applicable,WRB
184,traded,HOLD,not_applicable,WSO
185,traded,HOLD,not_applicable,WST
186,traded,HOLD,not_applicable,WTRU
187,traded,HOLD,not_applicable,Y
188,traded,HOLD,not_applicable,ZAYO
189,traded,HOLD,not_applicable,ZBRA
190,traded,HOLD,not_applicable,ZG
191,traded,HOLD,not_applicable,ZION
192,traded,HOLD,not_applicable,ZTS
