Stock,primaryExchange
AAPL,NASDAQ
MSFT,NASDAQ
AMZN,NASDAQ
GOOGL,NASDAQ
GOOG,NASDAQ
FB,NASDAQ
BABA,NYSE
V,NYSE
JPM,NYSE
JNJ,NYSE
MA,NYSE
WMT,NYSE
BAC,NYSE
PG,NYSE
TSM,NYSE
INTC,NASDAQ
UNH,NYSE
T,NYSE
HD,NYSE
XOM,NYSE
KO,NYSE
DIS,NYSE
NVS,NYSE
VZ,NYSE
TM,NYSE
IVV,ARCA
MRK,NYSE
CVX,NYSE
CMCSA,NASDAQ
PEP,NASDAQ
PFE,NYSE
WFC,NYSE
CSCO,NASDAQ
BA,NYSE
ADBE,NASDAQ
ORCL,NYSE
NVDA,NASDAQ
CHL,NYSE
C,NYSE
SAP,NYSE
NFLX,NASDAQ
CRM,NYSE
MCD,NYSE
NKE,NYSE
ABT,NYSE
MDT,NYSE
UN,NYSE
UL,NYSE
HSBC,NYSE
BMY,NYSE
TSLA,NASDAQ
PYPL,NASDAQ
ABBV,NYSE
COST,NASDAQ
ACN,NYSE
PM,NYSE
IBM,NYSE
LLY,NYSE
TMO,NYSE
ASML,NASDAQ
NEE,NYSE
PTR,NYSE
AMGN,NASDAQ
HON,NYSE
AZN,NYSE
AVGO,NASDAQ
TOT,NYSE
UNP,NYSE
SNY,NASDAQ
BUD,NYSE
TXN,NASDAQ
BHP,NYSE
BBL,NYSE
LMT,NYSE
BP,NYSE
LIN,NYSE
RY,NYSE
NVO,NYSE
AMT,NYSE
DHR,NYSE
GE,NYSE
CHTR,NASDAQ
AXP,NYSE
LFC,NYSE
GSK,NYSE
SBUX,NASDAQ
QCOM,NASDAQ
TD,NYSE
BTI,NYSE
LOW,NYSE
FIS,NYSE
DEO,NYSE
CVS,NYSE
PBR,NYSE
MMM,NYSE
RIO,NYSE
MS,NYSE
UPS,NYSE
SNE,NYSE
BLK,NYSE
USB,NYSE
MDLZ,NASDAQ
GILD,NASDAQ
MO,NYSE
ENB,NYSE
GS,NYSE
BKNG,NASDAQ
CI,NYSE
FISV,NASDAQ
TMUS,NASDAQ
SYK,NYSE
SNP,NYSE
ADP,NASDAQ
INTU,NASDAQ
EL,NYSE
CAT,NYSE
TJX,NYSE
CME,NASDAQ
DUK,NYSE
ANTM,NYSE
SPGI,NYSE
CB,NYSE
BX,NYSE
ITUB,NYSE
TFC,NYSE
SO,NYSE
DCUE,NYSE
PLD,NYSE
D,NYSE
SAN,NYSE
CEO,NYSE
BDX,NYSE
ISRG,NASDAQ
CCI,NYSE
ZTS,NYSE
UBER,NYSE
BNS,NYSE
PNC,NYSE
BAM,NYSE
CNI,NYSE
NOW,NYSE
MU,NASDAQ
CL,NYSE
VMW,NYSE
COP,NYSE
AMD,NASDAQ
VALE,NYSE
VRTX,NASDAQ
NOC,NYSE
AMAT,NASDAQ
WBK,NYSE
CSX,NASDAQ
SHOP,NYSE
JD,NASDAQ
GPN,NYSE
ITW,NYSE
SCHW,NYSE
BBD,NYSE
TAK,NYSE
MMC,NYSE
TGT,NYSE
ECL,NYSE
ABEV,NYSE
BSX,NYSE
AMX,NYSE
BBDO,NYSE
EQNR,NYSE
BIIB,NASDAQ
EPD,NYSE
APD,NYSE
EQIX,NASDAQ
GD,NYSE
AON,NYSE
NSC,NYSE
ICE,NYSE
DE,NYSE
SHW,NYSE
WM,NYSE
LVS,NYSE
ABB,NYSE
LYG,NYSE
RELX,NYSE
TRP,NYSE
VOD,NASDAQ
MCO,NYSE
E,NYSE
UBS,NYSE
HCA,NYSE
AEP,NYSE
GM,NYSE
HUM,NYSE
LHX,NYSE
PUK,NYSE
LRCX,NASDAQ
KMI,NYSE
KMB,NYSE
HMC,NYSE
IBN,NYSE
BMO,NYSE
HDB,NYSE
PGR,NYSE
ATVI,NASDAQ
EXC,NASDAQ
SMFG,NYSE
MET,NYSE
EW,NYSE
SLB,NYSE
MAR,NASDAQ
BAX,NYSE
