,contract,direction,order,symbol
0,"Stock(symbol='A', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=8, clientId=10, permId=1534984278, action='BUY', account='DU2280941')",A
1,"Stock(symbol='AAL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=9, clientId=10, permId=1534984283, action='SELL', account='DU2280941')",AAL
2,"Stock(symbol='AAP', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=10, clientId=10, permId=1534984279, action='SELL', account='DU2280941')",AAP
3,"Stock(symbol='AAPL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=11, clientId=10, permId=1534984287, action='SELL', account='DU2280941')",AAPL
4,"Stock(symbol='ABB', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=12, clientId=10, permId=1534984280, action='BUY', account='DU2280941')",ABB
5,"Stock(symbol='ABBV', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=13, clientId=10, permId=1534984281, action='BUY', account='DU2280941')",ABBV
6,"Stock(symbol='ABC', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=14, clientId=10, permId=1534984282, action='SELL', account='DU2280941')",ABC
7,"Stock(symbol='ABEV', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=15, clientId=10, permId=1534984284, action='BUY', account='DU2280941')",ABEV
8,"Stock(symbol='ABMD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=16, clientId=10, permId=1534984291, action='SELL', account='DU2280941')",ABMD
9,"Stock(symbol='ABT', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=17, clientId=10, permId=1534984285, action='BUY', account='DU2280941')",ABT
10,"Stock(symbol='ACAD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=18, clientId=10, permId=1534984297, action='SELL', account='DU2280941')",ACAD
11,"Stock(symbol='ACC', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=19, clientId=10, permId=1534984286, action='SELL', account='DU2280941')",ACC
12,"Stock(symbol='ACGL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=20, clientId=10, permId=1534984298, action='BUY', account='DU2280941')",ACGL
13,"Stock(symbol='ACGLO', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=21, clientId=10, permId=1534984295, action='BUY', account='DU2280941')",ACGLO
14,"Stock(symbol='ACGLP', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=22, clientId=10, permId=1534984303, action='BUY', account='DU2280941')",ACGLP
15,"Stock(symbol='ACH', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=23, clientId=10, permId=1534984288, action='BUY', account='DU2280941')",ACH
16,"Stock(symbol='ACM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=24, clientId=10, permId=1534984289, action='BUY', account='DU2280941')",ACM
17,"Stock(symbol='ADI', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=25, clientId=10, permId=1534984305, action='BUY', account='DU2280941')",ADI
18,"Stock(symbol='ADM', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=26, clientId=10, permId=1534984290, action='SELL', account='DU2280941')",ADM
19,"Stock(symbol='ADP', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=27, clientId=10, permId=1534984307, action='SELL', account='DU2280941')",ADP
20,"Stock(symbol='ADSK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=28, clientId=10, permId=1534984311, action='BUY', account='DU2280941')",ADSK
21,"Stock(symbol='AEE', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=29, clientId=10, permId=1534984292, action='SELL', account='DU2280941')",AEE
22,"Stock(symbol='AEG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=30, clientId=10, permId=1534984293, action='BUY', account='DU2280941')",AEG
23,"Stock(symbol='AEM', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=31, clientId=10, permId=1534984294, action='SELL', account='DU2280941')",AEM
24,"Stock(symbol='AEP', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=32, clientId=10, permId=1534984296, action='SELL', account='DU2280941')",AEP
25,"Stock(symbol='AER', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=33, clientId=10, permId=1534984299, action='BUY', account='DU2280941')",AER
26,"Stock(symbol='AES', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=34, clientId=10, permId=1534984300, action='SELL', account='DU2280941')",AES
27,"Stock(symbol='AFG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=35, clientId=10, permId=1534984301, action='BUY', account='DU2280941')",AFG
28,"Stock(symbol='AFL', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=36, clientId=10, permId=1534984302, action='SELL', account='DU2280941')",AFL
29,"Stock(symbol='AGNC', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=37, clientId=10, permId=1534984322, action='BUY', account='DU2280941')",AGNC
30,"Stock(symbol='AGNCN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=38, clientId=10, permId=1534984324, action='SELL', account='DU2280941')",AGNCN
31,"Stock(symbol='AGR', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=39, clientId=10, permId=1534984304, action='BUY', account='DU2280941')",AGR
32,"Stock(symbol='AIG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=40, clientId=10, permId=1534984306, action='BUY', account='DU2280941')",AIG
33,"Stock(symbol='AIV', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=41, clientId=10, permId=1534984308, action='BUY', account='DU2280941')",AIV
34,"Stock(symbol='AIZ', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=42, clientId=10, permId=1534984309, action='SELL', account='DU2280941')",AIZ
35,"Stock(symbol='AJG', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=43, clientId=10, permId=1534984310, action='SELL', account='DU2280941')",AJG
36,"Stock(symbol='AKAM', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=44, clientId=10, permId=1534984335, action='BUY', account='DU2280941')",AKAM
37,"Stock(symbol='ALB', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=45, clientId=10, permId=1534984312, action='BUY', account='DU2280941')",ALB
38,"Stock(symbol='ALC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=46, clientId=10, permId=1534984313, action='BUY', account='DU2280941')",ALC
39,"Stock(symbol='ALGN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=47, clientId=10, permId=1534984340, action='BUY', account='DU2280941')",ALGN
40,"Stock(symbol='ALK', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=48, clientId=10, permId=1534984314, action='BUY', account='DU2280941')",ALK
41,"Stock(symbol='ALLE', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=49, clientId=10, permId=1534984315, action='SELL', account='DU2280941')",ALLE
42,"Stock(symbol='ALLY', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=50, clientId=10, permId=1534984316, action='SELL', account='DU2280941')",ALLY
43,"Stock(symbol='ALNY', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=51, clientId=10, permId=1534984349, action='SELL', account='DU2280941')",ALNY
44,"Stock(symbol='ALV', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=52, clientId=10, permId=1534984317, action='SELL', account='DU2280941')",ALV
45,"Stock(symbol='ALXN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=53, clientId=10, permId=1534984353, action='BUY', account='DU2280941')",ALXN
46,"Stock(symbol='AMAT', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=54, clientId=10, permId=1534984358, action='BUY', account='DU2280941')",AMAT
47,"Stock(symbol='AMCR', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=55, clientId=10, permId=1534984318, action='SELL', account='DU2280941')",AMCR
48,"Stock(symbol='AMD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=56, clientId=10, permId=1534984364, action='BUY', account='DU2280941')",AMD
49,"Stock(symbol='AMED', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=57, clientId=10, permId=1534984363, action='SELL', account='DU2280941')",AMED
50,"Stock(symbol='AMH', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=58, clientId=10, permId=1534984319, action='BUY', account='DU2280941')",AMH
51,"Stock(symbol='AMP', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=59, clientId=10, permId=1534984320, action='BUY', account='DU2280941')",AMP
52,"Stock(symbol='AMRN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=60, clientId=10, permId=1534984368, action='BUY', account='DU2280941')",AMRN
53,"Stock(symbol='AMT', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=61, clientId=10, permId=1534984321, action='SELL', account='DU2280941')",AMT
54,"Stock(symbol='AMTD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=62, clientId=10, permId=1534984373, action='BUY', account='DU2280941')",AMTD
55,"Stock(symbol='AMX', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=63, clientId=10, permId=1534984323, action='SELL', account='DU2280941')",AMX
56,"Stock(symbol='AMZN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=64, clientId=10, permId=1534984375, action='SELL', account='DU2280941')",AMZN
57,"Stock(symbol='ANSS', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=65, clientId=10, permId=1534984376, action='SELL', account='DU2280941')",ANSS
58,"Stock(symbol='AON', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=66, clientId=10, permId=1534984325, action='SELL', account='DU2280941')",AON
59,"Stock(symbol='AOS', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=67, clientId=10, permId=1534984326, action='BUY', account='DU2280941')",AOS
60,"Stock(symbol='APA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=68, clientId=10, permId=1534984379, action='BUY', account='DU2280941')",APA
61,"Stock(symbol='APH', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=69, clientId=10, permId=1534984327, action='SELL', account='DU2280941')",APH
