,contract,direction,order,symbol
0,traded,HOLD,not_applicable,ACN
1,traded,HOLD,not_applicable,ADBE
2,traded,HOLD,not_applicable,AGN
3,traded,HOLD,not_applicable,AGNCM
4,traded,HOLD,not_applicable,AIZP
5,traded,HOLD,not_applicable,ALL
6,traded,HOLD,not_applicable,AME
7,traded,HOLD,not_applicable,AMGN
8,traded,HOLD,not_applicable,ANET
9,traded,HOLD,not_applicable,ANTM
10,traded,HOLD,not_applicable,APD
11,traded,HOLD,not_applicable,ARES
12,traded,HOLD,not_applicable,ATR
13,traded,HOLD,not_applicable,AVGO
14,traded,HOLD,not_applicable,AWK
15,traded,HOLD,not_applicable,AZN
16,traded,HOLD,not_applicable,AZO
17,traded,HOLD,not_applicable,BA
18,traded,HOLD,not_applicable,BG
19,traded,HOLD,not_applicable,BGNE
20,traded,HOLD,not_applicable,BIIB
21,traded,HOLD,not_applicable,BIO
22,traded,HOLD,not_applicable,BKNG
23,traded,HOLD,not_applicable,BLK
24,traded,HOLD,not_applicable,BLL
25,traded,HOLD,not_applicable,BMY
26,traded,HOLD,not_applicable,BXP
27,traded,HOLD,not_applicable,CABO
28,traded,HOLD,not_applicable,CACC
29,traded,HOLD,not_applicable,CE
30,traded,HOLD,not_applicable,CHDN
31,traded,HOLD,not_applicable,CHE
32,traded,HOLD,not_applicable,CHKP
33,traded,HOLD,not_applicable,CHTR
34,traded,HOLD,not_applicable,CME
35,traded,HOLD,not_applicable,CMG
36,traded,HOLD,not_applicable,COST
37,traded,HOLD,not_applicable,CQP
38,traded,HOLD,not_applicable,CTSH
39,traded,HOLD,not_applicable,CTXS
40,traded,HOLD,not_applicable,CY
41,traded,HOLD,not_applicable,DEO
42,traded,HOLD,not_applicable,DGX
43,traded,HOLD,not_applicable,DHR
44,traded,HOLD,not_applicable,DIS
45,traded,HOLD,not_applicable,DOW
46,traded,HOLD,not_applicable,DOX
47,traded,HOLD,not_applicable,EA
48,traded,HOLD,not_applicable,EHC
49,traded,HOLD,not_applicable,EL
50,traded,HOLD,not_applicable,ERIE
51,traded,HOLD,not_applicable,ESLT
52,traded,HOLD,not_applicable,ESS
53,traded,HOLD,not_applicable,ETR
54,traded,HOLD,not_applicable,FB
55,traded,HOLD,not_applicable,FLT
56,traded,HOLD,not_applicable,FRT
57,traded,HOLD,not_applicable,GD
58,traded,HOLD,not_applicable,GLPG
59,traded,HOLD,not_applicable,GMAB
60,traded,HOLD,not_applicable,GOOG
61,traded,HOLD,not_applicable,GOOGL
62,traded,HOLD,not_applicable,GS
63,traded,HOLD,not_applicable,HEI
64,traded,HOLD,not_applicable,HFC
65,traded,HOLD,not_applicable,HII
66,traded,HOLD,not_applicable,HLT
67,traded,HOLD,not_applicable,ILMN
68,traded,HOLD,not_applicable,INFO
69,traded,HOLD,not_applicable,INTU
70,traded,HOLD,not_applicable,INXN
71,traded,HOLD,not_applicable,IONS
72,traded,HOLD,not_applicable,IQV
73,traded,HOLD,not_applicable,ISRG
74,traded,HOLD,not_applicable,IT
75,traded,HOLD,not_applicable,ITW
76,traded,HOLD,not_applicable,JNJ
77,traded,HOLD,not_applicable,LDOS
78,traded,HOLD,not_applicable,LH
79,traded,HOLD,not_applicable,LII
80,traded,HOLD,not_applicable,LIN
81,traded,HOLD,not_applicable,LMT
82,traded,HOLD,not_applicable,LUV
83,traded,HOLD,not_applicable,MA
84,traded,HOLD,not_applicable,MCK
85,traded,HOLD,not_applicable,MCO
86,traded,HOLD,not_applicable,MELI
87,traded,HOLD,not_applicable,MKL
88,traded,HOLD,not_applicable,MTB
89,traded,HOLD,not_applicable,MTCH
90,traded,HOLD,not_applicable,MTD
91,traded,HOLD,not_applicable,NEE
92,traded,HOLD,not_applicable,NFLX
93,traded,HOLD,not_applicable,NGG
94,traded,HOLD,not_applicable,NTES
95,traded,HOLD,not_applicable,NTNX
96,traded,HOLD,not_applicable,NVO
97,traded,HOLD,not_applicable,NVR
98,traded,HOLD,not_applicable,NVS
99,traded,HOLD,not_applicable,NYT
100,traded,HOLD,not_applicable,OTEX
101,traded,HOLD,not_applicable,PAC
102,traded,HOLD,not_applicable,PEN
103,traded,HOLD,not_applicable,PG
104,traded,HOLD,not_applicable,PGR
105,traded,HOLD,not_applicable,PLD
106,traded,HOLD,not_applicable,RE
107,traded,HOLD,not_applicable,RMD
108,traded,HOLD,not_applicable,ROK
109,traded,HOLD,not_applicable,RS
110,traded,HOLD,not_applicable,RTN
111,traded,HOLD,not_applicable,S
112,traded,HOLD,not_applicable,SAP
113,traded,HOLD,not_applicable,SCCO
114,traded,HOLD,not_applicable,SEIC
115,traded,HOLD,not_applicable,SHW
116,traded,HOLD,not_applicable,SIVB
117,traded,HOLD,not_applicable,SPGI
118,traded,HOLD,not_applicable,STE
119,traded,HOLD,not_applicable,SWP
120,traded,HOLD,not_applicable,TAL
121,traded,HOLD,not_applicable,TM
122,traded,HOLD,not_applicable,TSG
123,traded,HOLD,not_applicable,UPS
124,traded,HOLD,not_applicable,V
125,traded,HOLD,not_applicable,VEEV
126,traded,HOLD,not_applicable,VZ
127,traded,HOLD,not_applicable,WBC
128,traded,HOLD,not_applicable,WMT
129,traded,HOLD,not_applicable,XEL
130,traded,HOLD,not_applicable,Y
131,traded,HOLD,not_applicable,ZAYO
