,market_cap,stock
0,91841.60000,MMM
1,158736.20000,ABT
2,169290.60000,ABBV
3,11200.58000,ABMD
4,135273.60000,ACN
5,56245.44000,ATVI
6,198343.00000,ADBE
7,63783.03000,AMD
8,9857.98000,AAP
9,9082.63600,AES
10,26798.92000,AFL
11,26999.50000,A
12,52572.24000,APD
13,16233.94000,AKAM
14,4683.98700,ALK
15,8423.62400,ALB
16,21349.64000,ARE
17,25041.83000,ALXN
18,20855.64000,ALGN
19,9639.78000,ALLE
20,2528.09200,ADS
21,12225.68000,LNT
22,31135.19000,ALL
23,986129.10000,GOOGL
24,76360.34000,MO
25,1304434.00000,AMZN
26,16153.73000,AMCR
27,17911.94000,AEE
28,7201.89400,AAL
29,40439.58000,AEP
30,85021.09000,AXP
31,28672.37000,AIG
32,117378.70000,AMT
33,23471.43000,AWK
34,18779.99000,AMP
35,20159.25000,ABC
36,20818.67000,AME
37,133455.70000,AMGN
38,29166.31000,APH
39,45202.02000,ADI
40,24188.41000,ANSS
41,67423.41000,ANTM
42,43009.46000,AON
43,7715.40100,AOS
44,5499.09700,APA
45,6030.48600,AIV
46,1526033.00000,AAPL
47,53650.70000,AMAT
48,20560.77000,APTV
49,22636.47000,ADM
50,17378.73000,ANET
51,18137.25000,AJG
52,6473.46200,AIZ
53,219307.50000,T
54,12507.58000,ATO
55,52811.07000,ADSK
56,65231.16000,ADP
57,26622.68000,AZO
58,23548.58000,AVB
59,9696.61300,AVY
60,17386.67000,BKR
61,22878.80000,BLL
62,223830.80000,BAC
63,34284.35000,BK
64,43245.99000,BAX
65,68521.48000,BDX
66,21561.06000,BBY
67,46038.45000,BIIB
68,84905.90000,BLK
69,111606.60000,BA
70,68507.70000,BKNG
71,6965.61400,BWA
72,15407.96000,BXP
73,52433.05000,BSX
74,129109.10000,BMY
75,124967.00000,AVGO
76,14364.81000,BR
77,30502.93000,BF.B
78,10511.69000,CHRW
79,7696.49300,COG
80,25690.79000,CDNS
81,14857.42000,CPB
82,33510.82000,COF
83,15913.26000,CAH
84,15666.68000,KMX
85,14908.01000,CCL
86,19116.13000,CARR
87,70420.65000,CAT
88,11131.13000,CBOE
89,16212.02000,CBRE
90,16988.51000,CDW
91,10628.78000,CE
92,37110.61000,CNC
93,9243.86100,CNP
94,11468.90000,CTL
95,21133.97000,CERN
96,6587.09400,CF
97,47531.29000,SCHW
98,109928.30000,CHTR
99,175552.00000,CVX
100,28777.67000,CMG
101,58884.06000,CB
102,18378.02000,CHD
103,71220.71000,CI
104,10165.87000,CINF
105,28471.26000,CTAS
106,196252.30000,CSCO
107,113354.40000,C
108,11621.10000,CFG
109,17957.13000,CTXS
110,26286.17000,CLX
111,63150.43000,CME
112,16924.28000,CMS
113,200872.10000,KO
114,29931.92000,CTSH
115,62980.54000,CL
116,181425.30000,CMCSA
117,5765.77000,CMA
118,16682.36000,CAG
119,11424.43000,CXO
120,48377.10000,COP
121,25515.37000,ED
122,38055.60000,STZ
123,16005.26000,COO
124,20728.51000,CPRT
125,21047.82000,GLW
126,20819.65000,CTVA
127,133057.60000,COST
128,3846.00000,COTY
129,70676.84000,CCI
130,53858.18000,CSX
131,25278.60000,CMI
132,85719.02000,CVS
133,21088.83000,DHI
134,123819.80000,DHR
135,9963.03700,DRI
136,9618.54600,DVA
137,49525.52000,DE
138,19962.74000,DAL
139,9898.05500,XRAY
140,5089.91000,DVN
141,37059.09000,DXCM
142,7886.05800,FANG
143,38237.29000,DLR
144,17128.34000,DFS
145,10618.70000,DISCA
146,18471.31000,DISH
147,48048.66000,DG
148,21618.99000,DLTR
149,71292.52000,D
150,14663.73000,DPZ
151,14168.70000,DOV
152,31295.88000,DOW
153,20798.23000,DTE
154,63895.43000,DUK
155,13595.54000,DRE
156,38986.65000,DD
157,4115.85400,DXC
158,11058.89000,ETFC
159,9724.59300,EMN
160,35576.00000,ETN
161,33812.90000,EBAY
162,59647.22000,ECL
163,22873.02000,EIX
164,43506.63000,EW
165,36296.70000,EA
166,37915.78000,EMR
167,19599.86000,ETR
168,31779.71000,EOG
169,20603.91000,EFX
170,61712.35000,EQIX
171,24072.81000,EQR
172,16458.35000,ESS
173,70631.73000,EL
174,13597.63000,EVRG
175,28835.41000,ES
176,8820.33600,RE
177,37602.40000,EXC
178,12025.84000,EXPE
179,12312.21000,EXPD
180,12601.43000,EXR
181,203799.80000,XOM
182,8633.91100,FFIV
183,671391.20000,FB
184,23949.56000,FAST
185,7020.25900,FRT
186,35409.80000,FDX
187,86855.08000,FIS
188,15690.54000,FITB
189,21946.44000,FE
190,19046.77000,FRC
191,69171.12000,FISV
192,21990.54000,FLT
193,5643.23100,FLIR
194,3863.43900,FLS
195,12999.09000,FMC
196,26049.61000,F
197,22102.21000,FTNT
198,22842.21000,FTV
199,8767.90800,FBHS
200,17015.62000,FOXA
201,11139.44000,BEN
202,15652.25000,FCX
203,4250.09700,GPS
204,18160.07000,GRMN
205,10886.50000,IT
206,44748.00000,GD
207,65340.78000,GE
208,37453.32000,GIS
209,39755.30000,GM
210,12778.58000,GPC
211,93601.34000,GILD
212,8325.58200,GL
213,55612.73000,GPN
214,72075.19000,GS
215,16610.35000,GWW
216,3470.32900,HRB
217,11869.57000,HAL
218,4211.22700,HBI
219,3893.66500,HOG
220,14856.53000,HIG
221,10564.95000,HAS
222,35200.15000,HCA
223,15367.62000,PEAK
224,8535.38500,HSIC
225,27577.92000,HSY
226,16035.99000,HES
227,13374.32000,HPE
228,21695.71000,HLT
229,5293.67500,HFC
230,13641.01000,HOLX
231,268826.90000,HD
232,104652.50000,HON
233,25761.90000,HRL
234,9030.52400,HST
235,6641.85500,HWM
236,24666.76000,HPQ
237,49973.89000,HUM
238,10426.16000,HBAN
239,7511.21200,HII
240,11684.99000,IEX
241,26540.70000,IDXX
242,28829.69000,INFO
243,53518.89000,ITW
244,52190.88000,ILMN
245,20765.69000,INCY
246,13068.51000,IR
247,255733.60000,INTC
248,51800.02000,ICE
249,111119.70000,IBM
250,14035.50000,IP
251,6950.71200,IPG
252,13789.14000,IFF
253,75253.39000,INTU
254,67063.39000,ISRG
255,5112.09800,IVZ
256,8588.87500,IPGP
257,26933.53000,IQV
258,8109.66000,IRM
259,13475.89000,JKHY
260,11074.34000,J
261,12306.20000,JBHT
262,12324.08000,SJM
263,380593.50000,JNJ
264,26355.04000,JCI
265,310979.20000,JPM
266,8075.05700,JNPR
267,14120.01000,KSU
268,22849.24000,K
269,13382.56000,KEY
270,18974.91000,KEYS
271,47894.55000,KMB
272,6111.58400,KIM
273,36115.95000,KMI
274,29922.89000,KLAC
275,3915.02800,KSS
276,39990.60000,KHC
277,25574.68000,KR
278,4484.16500,LB
279,41233.39000,LHX
280,16885.58000,LH
281,44344.16000,LRCX
282,9924.80300,LW
283,37728.25000,LVS
284,4657.46600,LEG
285,14245.57000,LDOS
286,19375.50000,LEN
287,156580.50000,LLY
288,8204.31000,LNC
289,109385.60000,LIN
290,10590.80000,LYV
291,8486.78600,LKQ
292,107342.20000,LMT
293,9546.12200,L
294,99464.06000,LOW
295,23045.75000,LYB
296,14528.16000,MTB
297,5326.70600,MRO
298,25126.08000,MPC
299,18916.82000,MKTX
300,30476.81000,MAR
301,54341.98000,MMC
302,13327.74000,MLM
303,12747.30000,MAS
304,305618.90000,MA
305,22989.22000,MKC
306,15965.53000,MXIM
307,141513.60000,MCD
308,25300.89000,MCK
309,128052.90000,MDT
310,194280.10000,MRK
311,35114.61000,MET
312,18744.70000,MTD
313,9543.76200,MGM
314,25460.61000,MCHP
315,56743.73000,MU
316,1467927.00000,MSFT
317,13846.78000,MAA
318,7041.85000,MHK
319,8671.04000,TAP
320,75056.06000,MDLZ
321,36596.17000,MNST
322,51478.13000,MCO
323,76513.88000,MS
324,5169.83900,MOS
325,24135.96000,MSI
326,26993.05000,MSCI
327,8338.35800,MYL
328,19478.96000,NDAQ
329,5039.13500,NOV
330,9837.55300,NTAP
331,191811.70000,NFLX
332,6671.09300,NWL
333,44904.61000,NEM
334,7062.47000,NWSA
335,121466.80000,NEE
336,5414.86400,NLSN
337,154010.60000,NKE
338,9049.38000,NI
339,5139.97100,NBL
340,3062.14100,JWN
341,45786.89000,NSC
342,17669.86000,NTRS
343,54135.04000,NOC
344,11974.95000,NLOK
345,5373.03200,NCLH
346,8240.37900,NRG
347,13427.60000,NUE
348,223085.10000,NVDA
349,12699.06000,NVR
350,31638.68000,ORLY
351,18261.37000,OXY
352,19139.45000,ODFL
353,12076.98000,OMC
354,16900.08000,OKE
355,172154.20000,ORCL
356,25053.65000,OTIS
357,25760.11000,PCAR
358,9572.48100,PKG
359,24304.89000,PH
360,27427.38000,PAYX
361,18310.10000,PAYC
362,189269.30000,PYPL
363,6431.79400,PNR
364,5342.19300,PBCT
365,182692.20000,PEP
366,11013.87000,PKI
367,7288.67600,PRGO
368,185531.50000,PFE
369,116255.30000,PM
370,33641.42000,PSX
371,8687.87000,PNW
372,16001.62000,PXD
373,48764.50000,PNC
374,24715.34000,PPG
375,20894.99000,PPL
376,12104.96000,PFG
377,292447.70000,PG
378,47075.55000,PGR
379,71617.78000,PLD
380,25991.00000,PRU
381,25645.32000,PEG
382,34759.29000,PSA
383,9795.46500,PHM
384,3734.52500,PVH
385,12916.78000,QRVO
386,5335.18300,PWR
387,100703.60000,QCOM
388,15228.04000,DGX
389,5552.56300,RL
390,10070.37000,RJF
391,102833.40000,RTX
392,21690.16000,O
393,8323.69600,REG
394,66714.46000,REGN
395,12072.77000,RF
396,26346.70000,RSG
397,24447.52000,RMD
398,6001.71900,RHI
399,24756.21000,ROK
400,13887.51000,ROL
401,41617.72000,ROP
402,34745.07000,ROST
403,13086.59000,RCL
404,78275.64000,SPGI
405,162612.50000,CRM
406,33715.18000,SBAC
407,27131.74000,SLB
408,13262.38000,STX
409,4960.96800,SEE
410,36379.46000,SRE
411,75987.82000,NOW
412,52333.49000,SHW
413,23090.03000,SPG
414,21420.06000,SWKS
415,4115.48000,SLG
416,7460.66300,SNA
417,59365.83000,SO
418,21553.83000,LUV
419,21318.86000,SWK
420,90940.47000,SBUX
421,22620.24000,STT
422,13158.97000,STE
423,71873.72000,SYK
424,11426.15000,SIVB
425,14686.09000,SYF
426,28069.32000,SNPS
427,28695.64000,SYY
428,127147.70000,TMUS
429,28414.03000,TROW
430,15458.61000,TTWO
431,4138.71600,TPR
432,59606.84000,TGT
433,27113.50000,TEL
434,3806.09600,FTI
435,16906.75000,TFX
436,115740.30000,TXN
437,7956.98800,TXT
438,137134.90000,TMO
439,14653.82000,TIF
440,66542.07000,TJX
441,14319.63000,TSCO
442,21930.58000,TT
