,high,last,low,symbol,volume
0,158.6,158.54,150.49,MMM,21950.0
1,90.14,90.12,87.05,ABT,28932.0
2,93.7,93.66,90.78,ABBV,38108.0
3,246.48,246.06,236.35,ABMD,2046.0
4,199.98,199.4,194.83,ACN,12576.0
5,73.46,73.14,71.27,ATVI,39215.0
6,405.93,405.89,397.0,ADBE,21255.0
7,54.3,54.27,52.41,AMD,404155.0
8,138.12,138.12,130.33,AAP,4968.0
9,12.93,12.9,12.03,AES,33844.0
10,37.2,37.1,35.11,AFL,16606.0
11,86.98,86.88,83.71,A,5738.0
12,237.66,237.44,229.17,APD,3558.0
13,101.4,100.39,99.59,AKAM,7263.0
14,,38.05,,ALK,
15,77.68,77.65,74.0,ALB,4361.0
16,164.87,164.51,155.46,ARE,9690.0
17,110.77,110.51,107.75,ALXN,9296.0
18,259.45,259.45,241.57,ALGN,4152.0
19,102.64,102.54,98.47,ALLE,2114.0
20,51.5,50.72,48.06,ADS,15278.0
21,49.03,49.0,47.22,LNT,3938.0
22,97.98,97.92,92.7,ALL,11492.0
23,1423.0,1422.69,1387.2,GOOGL,7584.0
24,1423.37,1423.2,1387.92,GOOG,8922.0
25,39.9,39.86,38.34,MO,50707.0
26,2578.65,2577.15,2508.0,AMZN,24937.0
27,10.26,10.26,9.54,AMCR,94557.0
28,72.5,72.4,69.72,AEE,6313.0
29,17.17,16.91,15.08,AAL,919497.0
30,81.71,81.61,79.7,AEP,14786.0
31,104.2,104.08,97.62,AXP,46004.0
32,33.35,33.17,31.12,AIG,39192.0
33,262.37,262.26,252.0,AMT,7904.0
34,129.9,129.82,124.73,AWK,3311.0
35,151.87,151.66,141.51,AMP,9446.0
36,96.13,96.02,92.9,ABC,5100.0
37,88.77,88.77,84.64,AME,4576.0
38,219.81,219.81,213.86,AMGN,10256.0
39,96.0,95.99,91.81,APH,4618.0
40,118.57,118.38,115.07,ADI,8823.0
41,277.0,276.97,265.68,ANSS,1746.0
42,264.48,264.15,250.88,ANTM,9370.0
43,184.48,184.4,177.21,AON,5413.0
44,47.74,47.68,45.76,AOS,4542.0
45,14.27,14.19,13.01,APA,112707.0
46,39.67,39.6,37.82,AIV,4892.0
47,343.88,343.86,332.58,AAPL,217885.0
48,57.08,57.05,54.52,AMAT,35738.0
49,75.99,75.99,71.8,APTV,19377.0
50,39.33,39.29,38.04,ADM,15123.0
51,226.7,226.7,215.84,ANET,2563.0
52,95.54,95.53,92.49,AJG,10464.0
53,107.23,107.11,103.24,AIZ,2115.0
54,30.56,30.51,29.52,T,262593.0
55,101.12,101.12,97.72,ATO,2109.0
56,228.55,228.42,218.76,ADSK,6347.0
57,147.84,147.77,142.44,ADP,8506.0
58,1115.54,1115.54,1074.45,AZO,1117.0
59,162.27,162.13,157.88,AVB,6454.0
60,115.55,115.45,109.07,AVY,1605.0
61,16.48,16.45,15.08,BKR,39469.0
62,68.32,68.26,66.25,BLL,9157.0
63,24.88,24.85,23.69,BAC,462586.0
64,38.41,38.37,36.85,BK,21178.0
65,84.05,83.95,82.46,BAX,13953.0
66,235.7,235.7,227.06,BDX,13365.0
67,180.96,180.86,176.05,BRK.B,48001.0
68,80.73,80.66,75.23,BBY,13176.0
69,277.25,276.68,272.02,BIIB,12224.0
70,545.89,544.65,515.72,BLK,5563.0
71,193.1,191.87,175.89,BA,588575.0
72,1649.32,1644.81,1555.01,BKNG,2143.0
73,33.73,33.7,31.87,BWA,12493.0
74,95.56,95.43,92.01,BXP,6305.0
75,35.97,35.92,34.1,BSX,72232.0
76,55.78,55.02,54.07,BMY,126677.0
77,306.75,306.28,292.41,AVGO,16511.0
78,121.88,121.84,119.4,BR,6457.0
79,65.62,65.56,63.12,BF.B,5946.0
80,78.23,78.17,75.64,CHRW,7071.0
81,19.83,19.41,19.07,COG,49437.0
82,90.12,90.03,87.75,CDNS,8430.0
83,48.27,48.25,46.68,CPB,10295.0
84,71.6,71.5,66.15,COF,23421.0
85,53.9,53.84,51.25,CAH,10203.0
86,92.45,92.36,86.3,KMX,7469.0
87,19.82,19.59,17.95,CCL,437324.0
88,22.54,22.41,20.63,CARR,39223.0
89,124.2,124.08,118.01,CAT,22976.0
90,100.85,100.78,97.26,CBOE,2284.0
91,47.78,47.75,45.03,CBRE,15948.0
92,113.9,113.9,108.64,CDW,4729.0
93,89.02,89.02,84.15,CE,3885.0
